Ocupation,MODEL,BANK
DIRECTOR,SANTA FE 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
EXECUTIVE,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
CIVIL DEFENCE OFFICER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
VICE PRESIDENT,TUCSON 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
RETIREE,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,TUCSON 1.6 TURBO HYBRID (S/R),DBS BANK LTD
RETIREE,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
SENIOR NURSE,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
IT MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
ASSOCIATE DIRECTOR,TUCSON 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,STARIA 3.5 AUTO (S/R),NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
LECTURER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
NA,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DOCTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
LAWYER,SANTA FE 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
LECTURER,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
MANAGER,SANTA FE 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,ORCHARD CREDIT PTE LTD
SALES,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
IT DATA ADMINISTRATOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
EDUCATOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
