Ocupation,MODEL,BANK
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HL BANK
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HL BANK
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HL BANK
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HL BANK
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
DIRECTOR,STARIA 3.5 AUTO (S/R),NO FINANCE - CASH PAYMENT
SECTION COMMANDER,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
DIRECTOR,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
NURSE,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
RENTAL,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,HL BANK
ENGINEER,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
FINANCE,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
SOFTWARE ENGINEER,KONA ELECTRIC,HONG LEONG FINANCE LTD
DEPUTY MANAGER,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,HONG LEONG FINANCE LTD
MANAGER,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,ORCHARD CREDIT PTE LTD
RETIREE,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,HONG LEONG FINANCE LTD
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),ORCHARD CREDIT PTE LTD
DIRECTOR,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
SELF EMPLOYED,SANTA FE 1.6 TURBO HYBRID 7-SEATER,HL BANK
CIVIL SERVANT,KONA 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
DOCTOR,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
FINANCE MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,HONG LEONG FINANCE LTD
BANKER,KONA ELECTRIC S/R,MAYBANK SINGAPORE LIMITED
SNR FINANCIAL CONSULTANT,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
MANAGER,KONA ELECTRIC S/R,HONG LEONG FINANCE LTD
"DIRECTOR , HEAD OF TRUST SERVICES",KONA 1.6 DCT GL HYBRID,HONG LEONG FINANCE LTD
DIRECTOR,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
PUBLIC SERVANT,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
TEACHER,KONA 1.6 DCT HYBRID ELITE (S/R),GB HELIOS PTE LTD
LEASING COMPANY,KONA ELECTRIC,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,HONG LEONG FINANCE LTD
CIVIL SERVANT,KONA 1.6 DCT GL HYBRID,HONG LEONG FINANCE LTD
RETIREE,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
ADMIN OFFICER,KONA 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
"SENIOR VICE PRESIDENT, FINANCIAL SERVICES",SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,HONG LEONG FINANCE LTD
FINANCE AND ADMINISTRATION,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
RETIREE,SANTA FE 1.6 TURBO HYBRID 7-SEATER,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 6 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
HR MANGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SELF EMPLOYED,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
ASST MANAGER,IONIQ 6 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 6 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
BANK OFFICER,IONIQ 6 ELECTRIC PRESTIGE 2WD,UNITED OVERSEAS BANK LTD
BANK OFFICER,IONIQ 6 ELECTRIC PRESTIGE 2WD,united
ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SENIOR EXECUTIVE DIRECTOR,IONIQ 6 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
EQUITY SALES,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
ENGINEERING DIRECTOR,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
DISTRIBUTION MANAGER,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
VP BUSINESS OPERATIONS,IONIQ 6 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DIRECTOR,IONIQ 6 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
CHAUFFEUR,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
AREA PROGRAM MANAGER,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,ORCHARD CREDIT PTE LTD
DIRECTOR,IONIQ 6 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HL BANK
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
Manager,SANTA FE 1.6 TURBO HYBRID (S/R) 6-SEATER,NO FINANCE - CASH PAYMENT
TEACHER,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
DIRECTOR,IONIQ 6 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
ESTATE MANAGER,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
CHIEF COMMERCIAL OFFICER,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
SELF- EMPLOYED,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
PASTOR,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
PROFESSOR,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
COUNSELLOR,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
CIVIL SERVANT,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
DIRECTOR,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,HL BANK
RETIREE,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
ENGINEER,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
MANAGER,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
ACCOUNTANT,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
"MANAGER, BD",AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
FINANCE MANAGER,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
ASSISTANT VICE PRESIDENT,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
MANAGER,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,GB HELIOS PTE LTD
FINANCE OFFICER,IONIQ 6 ELECTRIC EXCLUSIVE 2WD,MAYBANK SINGAPORE LIMITED
PRODUCTS MANAGER,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
RETIREE,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
EXECUTIVE ASSISTANT,IONIQ 6 ELECTRIC INSPIRATION AWD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
FINANCE,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
HEALTHCARE,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DOCTOR,SANTA FE 1.6 TURBO HYBRID (S/R) 6-SEATER,MAYBANK SINGAPORE LIMITED
PROJECT MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
PROFESSIONAL,IONIQ 6 ELECTRIC PRESTIGE 2WD 77KWH,MAYBANK SINGAPORE LIMITED
ENGINEER,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
HOMEMAKER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 6 ELECTRIC PRESTIGE 2WD 77KWH,NO FINANCE - CASH PAYMENT
DOCTOR,IONIQ 6 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
PROFESSIONAL,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
ACCOUNT MANAGER,AVANTE 1.6 DCT HYBRID ELITE (S/R),OCBC Bank
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
RETIREE,IONIQ 6 ELECTRIC INSPIRATION AWD,NO FINANCE - CASH PAYMENT
RETIREE,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
MANAGING DIRECTOR,SANTA FE 1.6 TURBO HYBRID (S/R) 6-SEATER,NO FINANCE - CASH PAYMENT
SNR ACCT EXECUTIVE,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES REPRESENTATIVE,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
FINANCE ANALYST,IONIQ 6 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
HEAD VETL,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
CEO,SANTA FE 1.6 TURBO HYBRID 7-SEATER,MAYBANK SINGAPORE LIMITED
STATISTICIAN,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
CONSULTANT,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
SALES ENGINEER,AVANTE 1.6 DCT HYBRID ELITE (S/R),OCBC Bank
GENERAL MANAGER,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
EXECUTIVE FINANCE OVERSEER,KONA ELECTRIC,NO FINANCE - CASH PAYMENT
EQUIPMENT MANAGER,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
JOURNALIST,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
TRAVEL AGENT,IONIQ 6 ELECTRIC EXCLUSIVE 2WD,MAYBANK SINGAPORE LIMITED
CIVIL SERVANT,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
FACILITY MANAGER,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
DOCTOR,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
GRAB DRIVER,KONA 1.6 DCT GL HYBRID,UNITED OVERSEAS BANK LTD
MANAGER,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
SENIOR ASSISTANT DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 6 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
BANKER,IONIQ 6 ELECTRIC INSPIRATION AWD,NO FINANCE - CASH PAYMENT
ADMIN MANAGER,IONIQ 6 ELECTRIC INSPIRATION AWD,NO FINANCE - CASH PAYMENT
LEGAL COUNSEL,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
OPTOMETRIST,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
LEASING ADMIN,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
RENTAL,KONA 1.6 DCT HYBRID ELITE (S/R),HL BANK
RENTAL,KONA 1.6 DCT HYBRID ELITE (S/R),HL BANK
RENTAL,KONA 1.6 DCT HYBRID ELITE (S/R),HL BANK
RENTAL,KONA 1.6 DCT HYBRID ELITE (S/R),HL BANK
RENTAL,KONA 1.6 DCT HYBRID ELITE (S/R),HL BANK
PROGRAMME MANAGER,KONA ELECTRIC S/R (LONG RANGE),OCBC BANK LTD
PROGRAMME MANAGER,IONIQ 6 ELECTRIC PRESTIGE 2WD 77KWH,OCBC BANK LTD
IT MANAGER,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
ENGINEER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
LEASING COMPANY,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
LEASING COMPANY,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
LEASING COMPANY,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
LEASING COMPANY,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
LEASING COMPANY,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
MANAGER,AVANTE 1.6 DCT HYBRID ELITE (S/R),DBS BANK LTD
MOTOR TRADERS,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
CONSULTANT,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
HOME MAKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 6 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 6 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
LAWYER,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HL BANK
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),DBS BANK LTD
DIRECTOR,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
INVESTOR,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
BANKER,SANTA FE 1.6 TURBO HYBRID 7-SEATER,DBS BANK LTD
DIRECTOR,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
VICE PRINCIPAL,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
SALES,"AVANTE 1.6 DCT HYBRID ""S"" (PHV)",MAYBANK SINGAPORE LIMITED
MOTOR TRADERS,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
EXECUTIVE,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
STRATEGIC PLANNING MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
MOH,IONIQ 6 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
SAFETY MANAGER,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
SENIOR MARKETING MANAGER,SANTA FE 1.6 TURBO HYBRID (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
ENGINEER,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
MARKETING DIRECTOR,KONA 1.6 DCT HYBRID ELITE (S/R),GB HELIOS PTE LTD
CONSULTANT,KONA ELECTRIC S/R,MAYBANK SINGAPORE LIMITED
ASSOCIATE DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
ENGINEER,IONIQ 6 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
RESEARCH ENGINEER,IONIQ 6 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,GENIE FINANCIAL SERVICES PTE LTD
DOCTOR,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
PRINCIPLE TECHNICAL EXECUTIVE,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
SCIENTIST,IONIQ 6 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
